region,year,EV Sales (Total),Charging Ports (Total),latitude,longitude
USA,2022,995240.0,128000,37.0902,-95.7129
USA,2023,1393750.0,183000,37.0902,-95.7129
United Arab Emirates,2018,119.0,0,23.4241,53.8478
United Arab Emirates,2019,94.0,0,23.4241,53.8478
United Arab Emirates,2020,691.0,0,23.4241,53.8478
United Arab Emirates,2021,4100.0,0,23.4241,53.8478
United Arab Emirates,2022,18900.0,0,23.4241,53.8478
United Arab Emirates,2023,28900.0,0,23.4241,53.8478
United Kingdom,2010,504.0,0,51.5074,-0.1278
United Kingdom,2011,1434.0,1500,51.5074,-0.1278
United Kingdom,2012,3000.0,2836,51.5074,-0.1278
United Kingdom,2013,4013.0,5660,51.5074,-0.1278
United Kingdom,2014,15349.0,7720,51.5074,-0.1278
United Kingdom,2015,30096.0,9300,51.5074,-0.1278
United Kingdom,2016,40315.0,12800,51.5074,-0.1278
United Kingdom,2017,50494.0,15200,51.5074,-0.1278
United Kingdom,2018,63862.0,17700,51.5074,-0.1278
United Kingdom,2019,78918.0,16800,51.5074,-0.1278
United Kingdom,2020,184651.0,20900,51.5074,-0.1278
United Kingdom,2021,323907.0,28200,51.5074,-0.1278
United Kingdom,2022,388432.0,36900,51.5074,-0.1278
United Kingdom,2023,474878.0,53000,51.5074,-0.1278
World,2010,10318.0,4010,0.0,0.0
World,2011,53778.0,10830,0.0,0.0
World,2012,133079.0,29500,0.0,0.0
World,2013,216041.0,43600,0.0,0.0
World,2014,351555.0,102000,0.0,0.0
World,2015,653630.0,175000,0.0,0.0
World,2016,917621.0,312000,0.0,0.0
World,2017,1430348.0,420000,0.0,0.0
World,2018,2269497.0,530000,0.0,0.0
World,2019,2248327.0,860000,0.0,0.0
World,2020,3158791.0,1250000,0.0,0.0
World,2021,6866344.0,1760000,0.0,0.0
World,2022,10636690.0,2700000,0.0,0.0
World,2023,14385660.0,3900000,0.0,0.0
